"Date","Price","Open","High","Low","Change %"
"Mar 19, 2017","4.5038","4.5050","4.5567","4.4633","-0.02%"
"Mar 12, 2017","4.5045","4.5379","4.5910","4.4463","-0.78%"
"Mar 05, 2017","4.5399","4.5529","4.6127","4.4742","-0.28%"
"Feb 26, 2017","4.5527","4.4974","4.5979","4.4402","1.24%"
"Feb 19, 2017","4.4970","4.5047","4.5369","4.4458","-0.18%"
"Feb 12, 2017","4.5053","4.6101","4.6311","4.5019","-2.40%"
"Feb 05, 2017","4.6160","4.6196","4.6995","4.5665","-0.03%"
"Jan 29, 2017","4.6174","4.8671","4.8841","4.6035","-5.15%"
"Jan 22, 2017","4.8682","4.6564","4.9048","4.6541","4.47%"
"Jan 15, 2017","4.6598","4.4887","4.7346","4.4601","2.77%"
"Jan 08, 2017","4.5340","4.4713","4.8106","4.4515","1.25%"
"Jan 01, 2017","4.4780","4.3584","4.4966","4.3462","2.88%"
"Dec 25, 2016","4.3526","4.3158","4.3625","4.2957","0.68%"
"Dec 18, 2016","4.3232","4.3812","4.3907","4.2928","-1.35%"
"Dec 11, 2016","4.3825","4.3865","4.4771","4.3345","-0.06%"
"Dec 04, 2016","4.3853","4.4797","4.5215","4.2324","-2.09%"
"Nov 27, 2016","4.4791","4.3079","4.5241","4.2322","4.16%"
"Nov 20, 2016","4.3003","4.1673","4.3277","4.1510","3.20%"
"Nov 13, 2016","4.1670","4.0893","4.2329","4.0579","1.68%"
"Nov 06, 2016","4.0983","3.9497","4.1509","3.8992","3.70%"
"Oct 30, 2016","3.9520","3.7835","3.9858","3.7680","4.39%"
"Oct 23, 2016","3.7858","3.7673","3.8114","3.7226","0.41%"
"Oct 16, 2016","3.7704","3.7658","3.8270","3.7319","0.10%"
"Oct 09, 2016","3.7665","3.7921","3.8236","3.7307","-0.71%"
"Oct 02, 2016","3.7936","3.8811","3.9072","3.6004","-2.53%"
"Sep 25, 2016","3.8920","3.8442","3.9173","3.8419","1.10%"
"Sep 18, 2016","3.8495","3.8685","3.8994","3.8115","-0.67%"
"Sep 11, 2016","3.8756","3.9417","3.9756","3.8706","-1.41%"
"Sep 04, 2016","3.9310","3.9262","3.9596","3.9093","0.21%"
"Aug 28, 2016","3.9226","3.8794","3.9494","3.8559","1.10%"
"Aug 21, 2016","3.8801","3.8254","3.9167","3.8196","1.30%"
"Aug 14, 2016","3.8302","3.8230","3.8670","3.7769","0.15%"
"Aug 07, 2016","3.8245","3.9177","3.9295","3.8119","-2.44%"
"Jul 31, 2016","3.9200","3.9634","4.0399","3.9125","-0.82%"
"Jul 24, 2016","3.9523","4.0168","4.0444","3.9464","-1.64%"
"Jul 17, 2016","4.0183","3.9787","4.1026","3.8664","0.87%"
"Jul 10, 2016","3.9838","3.7456","4.0187","3.7275","6.35%"
"Jul 03, 2016","3.7460","3.8481","3.8798","3.7361","-2.66%"
"Jun 26, 2016","3.8485","3.9708","3.9708","3.8016","-3.96%"
"Jun 19, 2016","4.0072","4.2077","4.2973","3.9249","-4.65%"
"Jun 12, 2016","4.2026","4.1713","4.2117","4.1259","0.63%"
"Jun 05, 2016","4.1763","4.2151","4.2582","4.1512","-0.92%"
"May 29, 2016","4.2149","4.3179","4.3473","4.2068","-2.55%"
"May 22, 2016","4.3254","4.3201","4.3849","4.2851","0.22%"
"May 15, 2016","4.3158","4.2570","4.3909","4.2507","1.17%"
"May 08, 2016","4.2661","4.2238","4.2926","4.1934","0.99%"
"May 01, 2016","4.2242","4.0846","4.3164","4.0690","3.40%"
"Apr 24, 2016","4.0852","4.1067","4.1404","4.0741","-0.44%"
"Apr 17, 2016","4.1032","4.0553","4.1128","4.0259","1.27%"
"Apr 10, 2016","4.0519","4.0256","4.0736","4.0064","0.67%"
"Apr 03, 2016","4.0248","4.0140","4.0482","3.9883","0.25%"
"Mar 27, 2016","4.0149","4.0579","4.1064","4.0080","-1.30%"
"Mar 20, 2016","4.0679","4.1524","4.1554","4.0426","-2.03%"
"Mar 13, 2016","4.1524","4.1234","4.1597","4.0622","0.77%"
"Mar 06, 2016","4.1208","4.1373","4.1821","4.0644","-0.41%"
"Feb 28, 2016","4.1377","4.1512","4.1624","4.0873","-0.32%"
"Feb 21, 2016","4.1508","4.2542","4.2542","4.0624","-2.38%"
"Feb 14, 2016","4.2522","4.2424","4.2946","4.2072","0.05%"
"Feb 07, 2016","4.2500","4.2394","4.2748","4.2035","0.25%"
"Jan 31, 2016","4.2394","4.2114","4.2915","4.2050","0.69%"
"Jan 24, 2016","4.2105","4.2794","4.3262","4.1886","-1.74%"
"Jan 17, 2016","4.2850","4.3493","4.3589","4.2622","-1.41%"
"Jan 10, 2016","4.3463","4.3896","4.4333","4.3308","-0.93%"
"Jan 03, 2016","4.3869","4.2976","4.4244","4.2920","2.08%"
"Dec 27, 2015","4.2975","4.3601","4.3677","4.2866","-1.54%"
"Dec 20, 2015","4.3649","4.3386","4.3907","4.3235","0.75%"
"Dec 13, 2015","4.3324","4.5285","4.5408","4.3261","-4.52%"
